id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|source
ga_01_31|harry.wizard.discovery.age|Characters and history|How old is Harry when he learns he is a wizard?|Eleven|Seven|Thirteen|Sixteen|Harry learns the truth on his eleventh birthday.|harry-profile
ga_01_32|harry.nickname.survivor|Characters and history|Which nickname celebrates Harry's survival as a baby?|The Boy Who Lived|The Half-Blood Prince|The Bloody Baron|The Grey Lady|His survival made him famous as the Boy Who Lived.|harry-profile
ga_01_33|dobby.freedom.sock|Characters and history|What item of clothing brings Dobby his freedom?|A sock|A scarf|A glove|A hat|Receiving the sock releases Dobby from servitude.|dobby-profile
ga_01_34|hedwig.mail.delivery|Characters and history|What everyday task does Hedwig perform for Harry?|Delivering letters|Brewing potions|Repairing wands|Counting house points|Hedwig carries Harry's post.|hedwig-profile
ga_01_35|hagrid.heritage.giant|Characters and history|Hagrid is half-human and half what?|Giant|Goblin|Centaur|Troll|Hagrid's giant ancestry explains his extraordinary size.|hagrid-profile
ga_01_36|great.hall.ceiling|Hogwarts and places|What does the Great Hall's enchanted ceiling resemble?|The sky outside|An underwater cave|A chessboard|A map of London|Its appearance follows the sky and weather.|great-hall
ga_01_37|molly.christmas.gift|Characters and history|What does Molly Weasley traditionally knit for Harry at Christmas?|A jumper|A sleeping bag|A hat for Hedwig|A tablecloth|Molly includes Harry in her Christmas jumper tradition.|molly-profile
ga_01_38|ron.father.identity|Characters and history|What is Ron Weasley's father's first name?|Arthur|Amos|Albus|Argus|Arthur is Ron's father and Molly's husband.|arthur-profile
ga_01_39|phoenix.rebirth.ashes|Magical creatures|From what is a phoenix reborn after burning?|Its ashes|A stone egg|A tree hollow|A pool of water|A phoenix starts life again from its ashes.|phoenix-profile
ga_01_40|filch.cat.name|Characters and history|What is the name of Filch's cat?|Mrs Norris|Crookshanks|Hedwig|Trevor|Mrs Norris helps Filch catch rule-breakers.|filch-profile
ga_02_31|ron.quidditch.position|Characters and history|Which Quidditch position does Ron play for Gryffindor?|Keeper|Seeker|Beater|Chaser|Ron defends Gryffindor's goal hoops as Keeper.|ron-profile
ga_02_32|ron.chess.skill|Characters and history|Which magical board game is Ron especially good at?|Wizard Chess|Gobstones|Exploding Snap|Quidditch|Ron is a skilled Wizard Chess player.|ron-profile
ga_02_33|hagrid.teaching.subject|Characters and history|Which subject does Hagrid teach when he becomes a professor?|Care of Magical Creatures|Astronomy|Arithmancy|Ancient Runes|His lessons introduce students to magical beasts.|hagrid-profile
ga_02_34|hermione.house.membership|Characters and history|Which Hogwarts house is Hermione in?|Gryffindor|Ravenclaw|Hufflepuff|Slytherin|Hermione belongs to Gryffindor alongside Harry and Ron.|hermione-profile
ga_02_35|sirius.harry.godfather|Characters and history|Who is Harry Potter's godfather?|Sirius Black|Arthur Weasley|Remus Lupin|Albus Dumbledore|James and Lily chose Sirius as Harry's godfather.|sirius-profile
ga_02_36|harry.wand.wood|Characters and history|What wood is Harry's original Ollivanders wand made from?|Holly|Willow|Vine|Yew|Harry's first wand has a holly body.|harry-profile
ga_02_37|sorting.ceremony.location|Hogwarts and places|In which Hogwarts room are new students normally Sorted?|The Great Hall|The library|The hospital wing|The trophy room|The first-years gather in the Great Hall for Sorting.|great-hall
ga_02_38|unicorn.adult.colour|Magical creatures|What colour is a fully grown unicorn in wizarding lore?|White|Golden|Black|Green|Unicorns become white as adults.|unicorn-profile
ga_02_39|harry.middle.name|Characters and history|What is Harry Potter's middle name?|James|Albus|Arthur|Sirius|His full name is Harry James Potter.|harry-profile
