id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|book|chapter|sourceURL
ga_01_41|harry.childhood.bedroom|Locations|In the first book, Harry Potter and the Philosopher's Stone, where does Harry sleep at the Dursleys' home before he is given a bedroom?|A cupboard under the stairs|An attic bedroom|The garden shed|A room above the garage|Harry sleeps in the cupboard beneath the stairs before moving into Dudley's second bedroom. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 2.|ps|2|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps2/
ga_01_42|harry.father.name|Families|In the first book, Harry Potter and the Philosopher's Stone, what is Harry Potter's father's first name?|James|Arthur|Remus|Sirius|Harry's father is James Potter. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 1.|ps|1|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps1/
ga_01_43|petunia.first.name|Families|In the first book, Harry Potter and the Philosopher's Stone, what is the first name of Harry's Aunt Dursley?|Petunia|Marge|Arabella|Molly|Petunia Dursley is Harry's aunt and Lily Potter's sister. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 1.|ps|1|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps1/
ga_01_44|hagrid.first.birthday.cake|Objects|In the first book, Harry Potter and the Philosopher's Stone, what birthday treat does Hagrid bring Harry when they first meet?|A cake|A chocolate egg|A treacle tart|A box of fudge|Hagrid brings Harry a birthday cake when he visits the hut. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 4.|ps|4|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps4/
ga_01_45|halloween.bathroom.creature|Creatures|In the first book, Harry Potter and the Philosopher's Stone, what large creature corners Hermione in a bathroom on Halloween?|A troll|A giant|An ogre|A werewolf|A mountain troll corners Hermione in the girls' bathroom. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 10.|ps|10|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps10/
ga_01_46|harry.zoo.escape.animal|Magical events|In the first book, Harry Potter and the Philosopher's Stone, what kind of animal escapes its enclosure when Harry visits the zoo?|A snake|A lion|A monkey|A crocodile|The glass disappears and the snake escapes from its enclosure. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 2.|ps|2|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps2/
ga_01_47|marge.inflation.event|Magical events|In the third book, Harry Potter and the Prisoner of Azkaban, what happens to Aunt Marge when Harry loses his temper during her visit?|She inflates like a balloon|She turns into a cat|She shrinks to the size of a mouse|She becomes invisible|Harry accidentally inflates Aunt Marge after she insults his parents. This occurs in the third book, Harry Potter and the Prisoner of Azkaban, chapter 2.|pa|2|https://www.hp-lexicon.org/source/the-harry-potter-novels/pa/pa2/
ga_01_48|dudley.tail.species|Magical events|In the first book, Harry Potter and the Philosopher's Stone, what animal's tail does Hagrid accidentally give Dudley?|A pig's tail|A rat's tail|A donkey's tail|A lizard's tail|Hagrid's attempted transformation leaves Dudley with a pig's tail. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 4.|ps|4|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps4/
ga_01_49|harry.first.broom.model|Quidditch|In the first book, Harry Potter and the Philosopher's Stone, what model is Harry's first school Quidditch broom?|Nimbus Two Thousand|Firebolt|Cleansweep Seven|Comet Two Sixty|Harry receives a Nimbus Two Thousand for his first season at Hogwarts. This occurs in the first book, Harry Potter and the Philosopher's Stone, chapter 10.|ps|10|https://www.hp-lexicon.org/source/the-harry-potter-novels/ps/ps10/
ga_01_50|hermione.parents.profession|Families|In the second book, Harry Potter and the Chamber of Secrets, what is the profession of Hermione's parents?|Dentists|Doctors|Teachers|Solicitors|Both of Hermione's parents work as dentists. This occurs in the second book, Harry Potter and the Chamber of Secrets, chapter 4.|cs|4|https://www.hp-lexicon.org/source/the-harry-potter-novels/cs/cs4/
