id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|source
ga_06_02|hogwarts.matron|Hogwarts|Who is the matron who treats Harry in the hospital wing?|Poppy Pomfrey|Irma Pince|Rolanda Hooch|Wilhelmina Grubbly-Plank|Madam Poppy Pomfrey looks after Hogwarts' sick and injured pupils.|pomfrey
ga_06_05|wolfsbane.purpose|Potions|Which potion helps Lupin retain control during his werewolf transformation?|Wolfsbane Potion|Polyjuice Potion|Felix Felicis|Skele-Gro|Wolfsbane helps Lupin control his werewolf condition.|first-aid
ga_06_20|fantastic.beasts.textbook.author|Wizarding books|Who is the wizarding author of Fantastic Beasts and Where to Find Them?|Newt Scamander|Gilderoy Lockhart|Quentin Trimble|Adalbert Waffling|Newt writes the textbook after researching magical creatures.|newt
ga_07_09|rita.newspaper|Wizarding life|Which newspaper employs Rita Skeeter as a sensationalist reporter?|The Daily Prophet|The Quibbler|The Evening Oracle|The Hogwarts Herald|Rita writes sensational stories for the Daily Prophet.|rita
ga_08_20|jokeshop.film.mannequin.height|Film design|How tall is the moving mannequin above the film set's Weasleys' Wizard Wheezes entrance?|20 feet|8 feet|12 feet|40 feet|The studio's account describes a 20-foot mannequin.|film-props
ga_09_04|zonko.trade|Places|Which Hogsmeade shop specialises in jokes and tricks?|Zonko's|Honeydukes|Madam Puddifoot's|The Three Broomsticks|Zonko's is the village joke shop.|hogsmeade
ga_09_08|newt.house|Wizarding schools|Which Hogwarts house did Newt Scamander belong to?|Hufflepuff|Ravenclaw|Gryffindor|Slytherin|Newt was a Hufflepuff.|newt
ga_10_04|bowtruckle.tree.quality|Magical creatures|What makes a Bowtruckle's tree particularly interesting to wandmakers?|Its wood is suitable for wands|It grows ready-made wands|Its sap replaces wand cores|Its roots predict wand owners|Bowtruckles usually live in trees with wand-quality wood.|bowtruckle
ga_10_15|basilisk.hatching|Magical creatures|How is a basilisk hatched in wizarding lore?|A chicken egg is placed under a toad|A snake egg is warmed by a phoenix|A dragon egg is frozen|A turtle egg is buried under a willow|Basilisks hatch from chicken eggs incubated under toads.|basilisk
ga_10_18|newt.profession|Wizarding life|What is Newt Scamander's specialist profession?|Magizoologist|Wandmaker|Curse-breaker|Arithmancer|Newt is a Magizoologist who studies magical creatures.|newt
ga_11_12|occamy.classification|Magical creatures|What Ministry danger classification does an Occamy have?|Four Xs|One X|Two Xs|Five Xs|The official fact file gives the Occamy a four-X classification.|occamy
ga_11_13|thunderbird.habitat|Magical creatures|Which American state's desert is particularly associated with Thunderbirds?|Arizona|Maine|Florida|Vermont|Thunderbirds are most commonly associated with Arizona's desert.|thunderbird
ga_11_14|demiguise.origin|Magical creatures|From which part of the world does the Demiguise originate?|East Asia|Northern Europe|Central America|Southern Africa|The Demiguise is native to East Asia.|demiguise
ga_11_19|voldemort.actor|Films|Who plays the resurrected Lord Voldemort in the original Harry Potter films?|Ralph Fiennes|Gary Oldman|Jason Isaacs|Michael Gambon|Ralph Fiennes portrays the restored Voldemort.|reunion
ga_12_03|regulus.locket.orders|Books|Who orders Kreacher to take Slytherin's locket home from the cave and destroy it?|Regulus Black|Sirius Black|Albus Dumbledore|Lucius Malfoy|Regulus drinks the potion and orders Kreacher to return with the locket.|regulus
ga_12_06|dragon.core.accidents|Wandlore|Which of Ollivander's three preferred cores is most prone to accidents?|Dragon heartstring|Unicorn hair|Phoenix feather|They are equally accident-prone|Ollivander calls dragon-core wands the most temperamental of the three.|cores
ga_12_08|durmstrang.visitor.secrecy|Wizarding schools|What protects Durmstrang's location after visitors leave?|Memory Charms|An Unbreakable Vow|A lifetime travel ban|A permanent blindfold|Visitors must have their knowledge of the route erased.|durmstrang
ga_12_16|diagon.set.redressing|Film design|Which location reused redressed Diagon Alley set pieces in Prisoner of Azkaban?|Hogsmeade|Godric's Hollow|Little Whinging|Grimmauld Place|Parts of Diagon Alley were adapted to portray Hogsmeade.|studio-sets
ga_13_14|dumbledore.office.set.rooms|Film design|How many circular rooms formed Dumbledore's office set during filming?|Three|One|Two|Five|The set used three rooms separated by removable walls.|studio-sets
ga_13_17|malfoy.estate.county|Wizarding history|In which English county is the Malfoy family's ancestral estate?|Wiltshire|Surrey|Devon|Kent|The Malfoys' ancestral land lies in Wiltshire.|malfoys
ga_13_20|great.hall.set.built.year|Film design|In what year was the original Great Hall film set first built?|2000|1997|1999|2002|The Great Hall set was built in 2000 for the first film.|studio-sets
ga_14_17|potion.jar.label.designers|Film design|Which design duo created the labels for the film's Potions classroom jars?|MinaLima|Ellerby and Spudmore|Borgin and Burkes|Flourish and Blotts|MinaLima hand-designed the potion-jar labels.|studio-props
ga_15_05|memory.cabinet.vial.count|Film design|Approximately how many memory vials were created for Dumbledore's film-set cabinet?|900|90|300|3000|The studio records nearly 900 vials and labels for the cabinet.|studio-props
