id|fact|category|question|correct|wrong1|wrong2|wrong3|explanation|source
ga_01_21|harry.scar.shape|Main characters|What shape is the scar on Harry Potter's forehead?|A lightning bolt|A star|A crescent moon|A triangle|Harry's forehead scar resembles a lightning bolt.|trio
ga_01_22|muggles.definition|Wizarding life|What are non-magical people from non-magical families called in Britain?|Muggles|Aurors|Animagi|Prefects|The British wizarding community calls them Muggles.|muggles
ga_01_23|harry.birthday|Main characters|On which date is Harry Potter's birthday?|31 July|1 January|25 December|5 November|Harry celebrates his birthday on 31 July.|birthday
ga_01_24|hogwarts.house.count|Hogwarts|How many houses are there at Hogwarts?|Four|Two|Six|Eight|Hogwarts has Gryffindor, Hufflepuff, Ravenclaw and Slytherin.|houses
ga_01_25|vernon.name|Main characters|What is the first name of Harry's Uncle Dursley?|Vernon|Arthur|Amos|Alastor|Harry lives with his aunt Petunia and uncle Vernon.|dursleys
ga_01_26|harry.mother.name|Main characters|What is Harry Potter's mother's first name?|Lily|Molly|Petunia|Narcissa|Harry's parents are Lily and James Potter.|trio
ga_01_27|weasley.home.name|Places|What is the Weasley family home called?|The Burrow|Shell Cottage|Malfoy Manor|The Riddle House|The Burrow is the Weasleys' family home.|burrow
ga_01_28|wingardium.effect|Spells|Which spell makes an object float in the air?|Wingardium Leviosa|Nox|Obliviate|Colloportus|Wingardium Leviosa is the Levitation Charm.|levitation
ga_01_29|twins.shop.name|Wizarding life|What is Fred and George's joke shop called?|Weasleys' Wizard Wheezes|Flourish and Blotts|Quality Quidditch Supplies|Madam Malkin's|The twins open Weasleys' Wizard Wheezes in Diagon Alley.|jokeshop
ga_01_30|original.film.count|Films|How many films make up the original Harry Potter series, excluding Fantastic Beasts?|Eight|Five|Ten|Twelve|The original film adaptation runs to eight films.|anniversary
ga_02_21|gryffindor.emblem|Hogwarts|Which animal appears on Gryffindor's emblem?|Lion|Badger|Eagle|Serpent|A lion represents Gryffindor.|houses
ga_02_22|hufflepuff.emblem|Hogwarts|Which animal represents Hufflepuff?|Badger|Lion|Wolf|Hare|Hufflepuff's emblem is a badger.|houses
ga_02_23|quaffle.scoring.ball|Quidditch|Which ball do Chasers throw through the goal hoops?|Quaffle|Golden Snitch|Bludger|Remembrall|Chasers score goals using the Quaffle.|quaffle
ga_02_24|snitch.points|Quidditch|How many points does catching the Golden Snitch award?|150|50|100|200|A Snitch catch adds 150 points to the team's score.|quidditch
ga_02_25|quidditch.team.size|Quidditch|How many players are on one standard Quidditch team on the pitch?|Seven|Five|Nine|Eleven|A team fields three Chasers, two Beaters, a Keeper and a Seeker.|quidditch
ga_02_26|quaffle.goal.points|Quidditch|How many points is a successful Quaffle goal worth?|10|1|25|50|Each Quaffle goal scores ten points.|quaffle
ga_02_27|flying.car.model|Magical objects|What model of car does Arthur Weasley enchant to fly?|Ford Anglia|Mini Cooper|Morris Minor|Volkswagen Beetle|Arthur modifies a blue Ford Anglia.|car
ga_02_28|privet.house.number|Places|What is the Dursleys' house number on Privet Drive?|Four|Seven|Twelve|Thirteen|Harry grows up at number four, Privet Drive.|privet
ga_02_29|honeydukes.trade|Wizarding life|What does Honeydukes mainly sell?|Sweets|Broomsticks|School robes|Wands|Honeydukes is Hogsmeade's sweetshop.|hogsmeade
ga_02_30|fawkes.tears|Magical creatures|What special power do Fawkes's tears have?|Healing wounds|Turning metal into gold|Erasing memories|Freezing water|Fawkes has healing tears, which save Harry from basilisk venom.|fawkes
ga_03_21|harry.book.eyes|Books|What colour are Harry's eyes in the novels?|Green|Blue|Brown|Grey|The books describe Harry as having green eyes.|trio
ga_03_22|harry.patronus|Spells|What animal form does Harry's corporeal Patronus take?|Stag|Otter|Wolf|Horse|Harry's Patronus appears as a stag.|patronus
ga_03_23|dementor.recovery.food|Wizarding life|What food does Lupin give Harry after a Dementor encounter?|Chocolate|Treacle tart|Pumpkin pasties|Ginger biscuits|Chocolate helps Harry recover from the Dementor's effects.|first-aid
ga_03_24|stupefy.effect|Spells|What is the main effect of Stupefy?|Stunning the target|Repairing an object|Opening a lock|Producing water|Stupefy is the Stunning Spell.|spells
ga_03_25|floo.transport|Magical travel|What powder allows travel between connected fireplaces?|Floo Powder|Peruvian Instant Darkness Powder|Baking powder|Doxy powder|Floo Powder makes travel through the Floo Network possible.|floo
ga_03_26|car.crash.tree|Books|Which tree do Harry and Ron crash into in the flying car?|Whomping Willow|Forbidden Oak|Talking Beech|Silver Birch|Their arrival at Hogwarts ends in the Whomping Willow.|car
ga_03_27|hagrid.first.name|Main characters|What is Hagrid's first name?|Rubeus|Remus|Rufus|Regulus|His full name is Rubeus Hagrid.|houses
ga_03_28|bellatrix.actor|Films|Who plays Bellatrix Lestrange in the original films?|Helena Bonham Carter|Emma Thompson|Julie Walters|Fiona Shaw|Helena Bonham Carter portrays Bellatrix.|reunion
ga_03_29|sirius.actor|Films|Who plays adult Sirius Black in the original films?|Gary Oldman|David Thewlis|Timothy Spall|Ralph Fiennes|Gary Oldman plays Harry's godfather, Sirius.|reunion
ga_03_30|main.novel.count|Books|How many novels form Harry Potter's original main story, excluding companion books and plays?|Seven|Six|Eight|Nine|The main sequence consists of seven novels.|anniversary
ga_04_21|apparition.definition|Magical travel|What is the name for magically disappearing and reappearing at another location?|Apparition|Occlumency|Legilimency|Divination|Apparition transports a witch or wizard between locations.|apparition
ga_04_22|sirius.animagus|Main characters|What animal can Sirius Black become as an Animagus?|A black dog|A stag|A rat|A cat|Sirius's Animagus form is a large black dog.|animagi
ga_04_23|tonks.metamorphmagus|Main characters|What is someone like Tonks, who can change their appearance at will, called?|Metamorphmagus|Parseltongue|Squib|Unspeakable|Tonks is born a Metamorphmagus.|tonks
ga_04_24|rita.animagus|Main characters|What creature does Rita Skeeter secretly transform into?|Beetle|Butterfly|Wasp|Moth|Rita uses her unregistered beetle form to gather information.|animagi
ga_04_25|mcgonagall.animagus|Main characters|What is Professor McGonagall's Animagus form?|Cat|Owl|Fox|Swan|McGonagall can transform herself into a cat.|animagi-history
ga_04_26|rita.quill|Magical objects|What writing tool assists Rita Skeeter during interviews?|Quick-Quotes Quill|Quill of Acceptance|Auto-Answer Quill|Blood quill|Rita uses a Quick-Quotes Quill for her sensational reporting.|rita
ga_04_27|tonks.house|Hogwarts|Which Hogwarts house did Nymphadora Tonks belong to?|Hufflepuff|Gryffindor|Ravenclaw|Slytherin|Tonks was a Hufflepuff.|tonks
ga_04_28|jokeshop.funder|Books|Who provides the money that helps the twins launch their joke shop?|Harry Potter|Lucius Malfoy|Cornelius Fudge|Viktor Krum|Harry funds the start of the twins' business.|jokeshop
ga_04_29|colloportus.effect|Spells|What does Colloportus do to a door?|Seals it shut|Makes it transparent|Turns it into glass|Removes its handle|Colloportus is used to seal doors.|spells
ga_04_30|petrificus.effect|Spells|Which spell is the Full Body-Bind Curse?|Petrificus Totalus|Riddikulus|Aguamenti|Episkey|Petrificus Totalus locks the victim's limbs in place.|spells
ga_05_21|harry.floo.wrong.destination|Books|Where does Harry arrive after mispronouncing Diagon Alley during his first Floo journey?|Knockturn Alley|Godric's Hollow|Hogsmeade|Little Hangleton|Harry's first Floo trip ends in Knockturn Alley.|mishaps
ga_05_22|grunnings.product|Main characters|What does Vernon Dursley's firm, Grunnings, make?|Drills|Cars|Watches|Umbrellas|Vernon is a director at the drill-making firm Grunnings.|dursleys
ga_05_23|petunia.lily.relationship|Main characters|How is Petunia Dursley related to Lily Potter?|She is Lily's sister|She is Lily's cousin|She is Lily's aunt|She is Lily's niece|Petunia and Lily are sisters.|dursleys
ga_05_24|romilda.love.chocolates|Books|Who sends Harry love-potion-laced Chocolate Cauldrons that Ron eats?|Romilda Vane|Lavender Brown|Parvati Patil|Pansy Parkinson|Romilda's intended gift to Harry is eaten by Ron.|sweets
ga_05_25|dumbledore.favourite.sweets|Books|Which Muggle sweets does Dumbledore offer McGonagall at Privet Drive?|Sherbet lemons|Liquorice wands|Acid Pops|Pepper Imps|Dumbledore is fond of sherbet lemons.|sweets
ga_05_26|dumbledore.bean.flavour|Books|What unfortunate Every-Flavour Bean flavour does Dumbledore taste in the first book's hospital scene?|Earwax|Soap|Spinach|Sardine|The bean Dumbledore tries tastes of earwax.|sweets
ga_05_27|ton.tongue.victim|Books|Whose tongue grows after eating the twins' Ton-Tongue Toffee?|Dudley Dursley's|Neville Longbottom's|Draco Malfoy's|Percy Weasley's|Dudley eats the toffee and his tongue swells dramatically.|sweets
ga_05_28|floo.flame.colour|Magical travel|What colour do fireplace flames turn when Floo Powder is added?|Emerald green|Bright purple|Silver|Scarlet|Floo Powder changes the flames to emerald green.|floo
ga_05_29|beauxbatons.headmistress|Wizarding schools|Who is Beauxbatons' headmistress during the Triwizard Tournament?|Olympe Maxime|Nerida Vulchanova|Pomona Sprout|Wilhelmina Grubbly-Plank|Madame Olympe Maxime leads Beauxbatons.|beauxbatons
ga_05_30|first.film.year|Films|In what year was the first Harry Potter film originally released?|2001|1997|1999|2003|Philosopher's Stone reached cinemas in 2001.|anniversary
ga_06_21|charlie.country|Main characters|In which country does Charlie Weasley work with dragons?|Romania|Norway|Greece|Portugal|Charlie moves to Romania to study dragons.|charlie
ga_06_22|luna.house|Hogwarts|Which Hogwarts house is Luna Lovegood in?|Ravenclaw|Gryffindor|Hufflepuff|Slytherin|Luna is a Ravenclaw student.|luna
ga_06_23|neville.subject|Hogwarts|Which school subject is Neville particularly talented at?|Herbology|Divination|Potions|History of Magic|Neville has a strong aptitude for Herbology.|neville
ga_06_24|lupin.condition|Main characters|What causes Lupin's dangerous transformations at the full moon?|He is a werewolf|He is a Metamorphmagus|He is an Inferius|He is a Boggart|Lupin is a werewolf, not an Animagus.|lupin
ga_06_25|snidget.original.quidditch|Quidditch history|Before the Golden Snitch, what living creature was chased in Quidditch?|Golden Snidget|Fwooper|Augurey|Phoenix|The Golden Snidget preceded the mechanical Snitch.|quidditch-history
ga_06_26|knightbus.night.furniture|Magical travel|What replaces seats on the Knight Bus at night?|Beds|Hammocks|Baths|Broomsticks|The bus provides seats by day and beds by night.|knightbus
ga_06_27|knightbus.decks|Magical travel|How many decks does the Knight Bus have?|Three|One|Two|Four|The Knight Bus is a triple-decker.|knightbus
ga_06_28|burrow.nearby.town|Places|Which village is near the Burrow?|Ottery St Catchpole|Little Hangleton|Godric's Hollow|Little Whinging|The Burrow stands near Ottery St Catchpole in Devon.|burrow
ga_06_29|tonks.mentor|Main characters|Which veteran Auror mentors Tonks?|Mad-Eye Moody|Gilderoy Lockhart|Ludo Bagman|Arthur Weasley|Tonks trains under Mad-Eye Moody.|tonks
ga_06_30|niffler.attraction|Magical creatures|What especially attracts a Niffler?|Shiny treasure|Loud singing|Fresh parchment|Snow|Nifflers are irresistibly attracted to shiny valuables.|niffler
ga_07_21|pickett.species|Fantastic Beasts|What kind of creature is Newt's companion Pickett?|Bowtruckle|Niffler|Demiguise|Occamy|Pickett is the Bowtruckle Newt keeps close to him.|bowtruckle
ga_07_22|newt.niffler.name|Fantastic Beasts|What is the name of Newt Scamander's particularly mischievous Niffler?|Teddy|Frank|Pickett|Errol|Newt's Niffler is called Teddy.|niffler
ga_07_23|floo.inventor|Wizarding history|Who invented Floo Powder?|Ignatia Wildsmith|Daisy Pennifold|Bathilda Bagshot|Artemisia Lufkin|Ignatia Wildsmith invented Floo Powder.|floo-history
ga_07_24|harry.firebolt.giver|Books|Who sends Harry his Firebolt broomstick?|Sirius Black|Remus Lupin|Arthur Weasley|Albus Dumbledore|Sirius buys Harry the Firebolt.|animagi
ga_07_25|luna.earrings|Main characters|What plant is associated with Luna's distinctive earrings?|Dirigible plums|Gurdyroots|Bubotubers|Venomous Tentacula|Luna wears earrings resembling dirigible plums.|luna
ga_07_26|luna.spectacles|Magical objects|What are the unusual spectacles Luna wears called?|Spectrespecs|Omnioculars|Sneakoscopes|Foe-Glasses|Luna is known for wearing Spectrespecs.|luna
ga_07_27|portkey.operation|Magical travel|What transports people who touch it to a prearranged destination?|A Portkey|A Pensieve|A Remembrall|A Howler|A Portkey is an enchanted object used for transportation.|portkeys
ga_07_28|beauxbatons.mountains|Wizarding schools|In which mountain range is Beauxbatons thought to be hidden?|Pyrenees|Alps|Carpathians|Apennines|Rowling places Beauxbatons somewhere in the Pyrenees.|beauxbatons
ga_07_29|ravenclaw.book.emblem|Books|Which bird represents Ravenclaw in the books?|Eagle|Raven|Owl|Falcon|The book emblem is an eagle, despite the house's name.|houses
ga_07_30|hufflepuff.intruder.defence|Hogwarts|What drenches someone who taps the wrong Hufflepuff entrance barrel?|Vinegar|Pumpkin juice|Ink|Honey|The entrance's defence sprays an intruder with vinegar.|hufflepuff-room
ga_08_21|castelobruxo.country|Wizarding schools|Which country's wizarding school is Castelobruxo?|Brazil|Mexico|Argentina|Peru|Castelobruxo is hidden in Brazil's rainforest.|castelobruxo
ga_08_22|mahoutokoro.country|Wizarding schools|In which country is Mahoutokoro located?|Japan|China|India|South Korea|Mahoutokoro is Japan's wizarding school.|mahoutokoro
ga_08_23|uagadou.continent|Wizarding schools|Uagadou welcomes students from across which continent?|Africa|Asia|Europe|South America|Uagadou draws students from across Africa.|uagadou
ga_08_24|ilvermorny.mountain|Wizarding schools|On which mountain stands Ilvermorny?|Mount Greylock|Mount Rainier|Mount Elbert|Mount Washington|Ilvermorny is concealed on Mount Greylock.|ilvermorny
ga_08_25|pennifold.quaffle.innovation|Quidditch history|What did Daisy Pennifold's charm make the Quaffle do?|Fall more slowly|Become invisible|Split into two|Turn into gold|Her slower-falling Quaffle made the game easier to play in flight.|quidditch-history
ga_08_26|firebolt.handle.wood|Magical objects|What wood is used for the Firebolt's polished handle?|Ebony|Willow|Oak|Ash|The Firebolt has an ebony handle.|firebolt
ga_08_27|unicorn.core.loyalty|Wandlore|Which of Ollivander's main cores is generally most faithful to its first owner?|Unicorn hair|Dragon heartstring|Phoenix feather|None of them|Ollivander describes unicorn-core wands as especially loyal.|cores
